Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
XER;0.001074085;1.023821273;1.265;-9.927478202;-10.2636507;-9.591305702
NAP;0.001413338;1.056650275;1.266;-9.927098462;-10.26328352;-9.590913401
NAP;0.001031363;0.715932301;1.269;-9.925959239;-10.26218223;-9.589736244
NAP;0.00109896;1.387530393;1.27;-9.925579498;-10.26181522;-9.589343774
CPL;0.000246999;0.391885379;1.271;-9.925199757;-10.26144825;-9.588951261
UMW;0.000413686;0.953431757;1.272;-9.924820016;-10.26108133;-9.588558706
WMT;0.000978912;1.518753439;1.273;-9.924440275;-10.26071444;-9.588166109
WMT;0.001635589;0.953431757;1.277;-9.922921311;-10.25924733;-9.586595297
WMT;0.001650928;1.023821273;1.279;-9.92216183;-10.25851402;-9.585809638
UMW;0.00143236;1.147195883;1.281;-9.921402348;-10.25778089;-9.58502381
TPL;0.000360202;0.915550072;1.283;-9.920642866;-10.25704792;-9.584237812
NAP;0.001124044;1.334375737;1.287;-9.919123902;-10.25558249;-9.582665311
NAP;0.001329413;1.300543977;1.288;-9.918744161;-10.25521624;-9.58227208
CPL;0.000884995;0.989464802;1.289;-9.91836442;-10.25485003;-9.581878807
SAP;0.000459832;0.833406499;1.29;-9.917984679;-10.25448387;-9.581485492
SAP;0.001440098;0.811359163;1.292;-9.917225198;-10.25375166;-9.580698734
UMW;0.001141272;1.300543977;1.298;-9.914946752;-10.25155605;-9.57833745
XER;0.002104112;0.895854746;1.301;-9.913807529;-10.25045882;-9.577156239
XER;0.001433314;0.989464802;1.302;-9.913427788;-10.25009316;-9.576762418
WMT;0.001360555;1.072533273;1.303;-9.913048047;-10.24972754;-9.576368555
SAP;0.000890282;0.875619756;1.308;-9.911149343;-10.24790008;-9.574398605
SAP;0.001209321;0.971668015;1.311;-9.91001012;-10.24680411;-9.573216131
SAP;0.000934319;0.953431757;1.312;-9.909630379;-10.24643887;-9.572821888
SAP;0.001122179;0.953431757;1.313;-9.909250638;-10.24607367;-9.572427604
CPL;6.08E-05;1.056650275;1.319;-9.906972193;-10.24388337;-9.570061013
UMW;0.000837344;1.175068282;1.323;-9.905453229;-10.24242401;-9.568482446
WMT;0.001928927;1.366725329;1.334;-9.901276079;-10.23841424;-9.564137919
SAP;0.001737315;0.915550072;1.335;-9.900896338;-10.23804997;-9.56374271
WMT;0.001479107;1.175068282;1.344;-9.89747867;-10.2347734;-9.560183943
CPL;0.000468888;1.188619689;1.345;-9.897098929;-10.23440954;-9.559788315
NAP;0.000864105;1.265087684;1.346;-9.896719188;-10.23404573;-9.559392645
XER;0.001804619;1.323269799;1.347;-9.896339447;-10.23368196;-9.558996933
CPL;0.000675515;1.006842803;1.353;-9.894061001;-10.23150022;-9.556621782
TPL;0.001107138;0.934733772;1.356;-9.892921778;-10.23040991;-9.555433642
SAP;0.000924437;1.161263564;1.357;-9.892542038;-10.23004656;-9.555037512
WMT;0.000903512;1.356098801;1.36;-9.891402815;-10.22895676;-9.553848869
WMT;0.001772473;1.006842803;1.361;-9.891023074;-10.22859358;-9.553452572
SAP;0.001215429;1.132855025;1.363;-9.890263592;-10.22786733;-9.552659851
NAP;0.000654453;1.147195883;1.367;-9.888744628;-10.22641535;-9.551073908
TPL;0.000620375;0.663157646;1.371;-9.887225665;-10.22496403;-9.549487297
TPL;0.001007598;0.663157646;1.377;-9.884947219;-10.22278831;-9.547106129
TPL;0.001113554;0.674018591;1.382;-9.883048514;-10.22097635;-9.545120676
WMT;0.001401438;0.971668015;1.387;-9.88114981;-10.21916544;-9.543134181
TPL;0.001023601;1.103309848;1.388;-9.880770069;-10.21880338;-9.542736757
SAP;0.001083988;1.454492845;1.389;-9.880390328;-10.21844136;-9.542339291
NAP;0.000871839;0.985939588;1.392;-9.879251105;-10.21735557;-9.541146645
NAP;0.000752235;1.118230172;1.398;-9.87697266;-10.21518509;-9.538760229
